time,enrolled,available,waitlisted,total
2023-05-25T01:19:09,0,35,0,35
2023-05-25T01:30:45,0,35,0,35
2023-05-25T01:42:29,0,35,0,35
2023-05-25T01:54:05,0,35,0,35
2023-05-25T02:05:40,0,35,0,35
2023-05-25T02:17:16,0,35,0,35
2023-05-25T02:28:52,0,35,0,35
2023-05-25T02:40:25,0,35,0,35
2023-05-25T02:51:58,0,35,0,35
2023-05-25T03:03:31,0,35,0,35
2023-05-25T03:15:09,0,35,0,35
2023-05-25T03:27:08,0,35,0,35
2023-05-25T03:38:45,0,35,0,35
2023-05-25T03:50:21,0,35,0,35
2023-05-25T04:01:56,0,35,0,35
2023-05-25T04:21:20,0,35,0,35
2023-05-25T04:33:20,0,35,0,35
2023-05-25T04:44:57,0,35,0,35
2023-05-25T04:56:33,0,35,0,35
2023-05-25T05:08:09,0,35,0,35
2023-05-25T05:19:46,0,35,0,35
2023-05-25T05:31:23,0,35,0,35
2023-05-25T05:42:58,0,35,0,35
2023-05-25T05:54:34,0,35,0,35
2023-05-25T06:06:11,0,35,0,35
2023-05-25T06:17:46,0,35,0,35
2023-05-25T06:29:21,0,35,0,35
2023-05-25T06:40:56,0,35,0,35
2023-05-25T06:52:31,0,35,0,35
2023-05-25T07:04:07,0,35,0,35
2023-05-25T07:15:42,0,35,0,35
2023-05-25T07:27:16,0,35,0,35
2023-05-25T07:38:50,0,35,0,35
2023-05-25T07:50:28,0,35,0,35
2023-05-25T08:02:03,0,35,0,35
2023-05-25T08:13:37,0,35,0,35
2023-05-25T08:25:21,0,35,0,35
2023-05-25T08:36:55,0,35,0,35
2023-05-25T08:48:27,0,35,0,35
2023-05-25T09:00:01,0,35,0,35
2023-05-25T09:11:34,0,35,0,35
2023-05-25T09:23:06,0,35,0,35
2023-05-25T09:34:39,0,35,0,35
2023-05-25T09:46:11,0,35,0,35
2023-05-25T09:57:45,0,35,0,35
2023-05-25T10:09:30,0,35,0,35
2023-05-25T10:21:03,0,35,0,35
2023-05-25T10:32:35,0,35,0,35
2023-05-25T10:44:08,0,35,0,35
2023-05-25T10:55:51,0,35,0,35
2023-05-25T11:07:23,0,35,0,35
2023-05-25T11:18:56,0,35,0,35
2023-05-25T11:30:28,0,35,0,35
2023-05-25T11:42:01,0,35,0,35
2023-05-25T11:53:35,0,35,0,35
2023-05-25T12:05:18,0,35,0,35
2023-05-25T12:16:51,0,35,0,35
2023-05-25T12:28:24,0,35,0,35
2023-05-25T12:39:57,0,35,0,35
2023-05-25T12:51:30,0,35,0,35
2023-05-25T13:03:13,0,35,0,35
2023-05-25T13:14:46,0,35,0,35
2023-05-25T13:26:19,0,35,0,35
2023-05-25T13:37:52,0,35,0,35
2023-05-25T13:49:25,0,35,0,35
2023-05-25T14:01:09,0,35,0,35
2023-05-25T14:12:43,0,35,0,35
2023-05-25T14:24:16,0,35,0,35
2023-05-25T14:35:49,0,35,0,35
2023-05-25T14:47:22,0,35,0,35
2023-05-25T14:59:06,0,35,0,35
2023-05-25T15:10:40,0,35,0,35
2023-05-25T15:22:14,0,35,0,35
2023-05-25T15:33:49,0,35,0,35
2023-05-25T15:45:23,0,35,0,35
2023-05-25T15:56:58,0,35,0,35
2023-05-25T16:08:43,0,35,0,35
2023-05-25T16:20:18,0,35,0,35
2023-05-25T16:31:53,0,35,0,35
2023-05-25T16:43:28,0,35,0,35
2023-05-25T16:55:04,0,35,0,35
2023-05-25T17:06:40,0,35,0,35
2023-05-25T17:18:28,0,35,0,35
2023-05-25T17:30:03,0,35,0,35
2023-05-25T17:41:39,0,35,0,35
2023-05-25T17:53:15,0,35,0,35
2023-05-25T18:04:51,0,35,0,35
2023-05-25T18:16:27,0,35,0,35
2023-05-25T18:28:02,0,35,0,35
2023-05-25T18:39:48,0,35,0,35
2023-05-25T18:51:24,0,35,0,35
2023-05-25T19:03:00,0,35,0,35
2023-05-25T19:14:36,0,35,0,35
2023-05-25T19:26:11,0,35,0,35
2023-05-25T19:37:47,0,35,0,35
2023-05-25T19:49:23,0,35,0,35
2023-05-25T20:01:09,0,35,0,35
2023-05-25T20:12:45,0,35,0,35
2023-05-25T20:24:20,0,35,0,35
2023-05-25T20:35:56,0,35,0,35
2023-05-25T20:47:32,0,35,0,35
2023-05-25T20:59:08,0,35,0,35
2023-05-25T21:10:44,0,35,0,35
2023-05-25T21:22:31,0,35,0,35
2023-05-25T21:34:06,0,35,0,35
2023-05-25T21:45:42,0,35,0,35
2023-05-25T21:57:17,0,35,0,35
2023-05-25T22:08:53,0,35,0,35
2023-05-25T22:20:28,0,35,0,35
2023-05-25T22:32:04,0,35,0,35
2023-05-25T22:43:50,0,35,0,35
2023-05-25T22:55:25,0,35,0,35
2023-05-25T23:07:04,0,35,0,35
2023-05-25T23:18:39,0,35,0,35
2023-05-25T23:30:15,0,35,0,35
2023-05-25T23:41:51,0,35,0,35
2023-05-25T23:53:28,0,35,0,35
2023-05-26T00:05:22,0,35,0,35
2023-05-26T00:17:03,0,35,0,35
2023-05-26T00:28:42,0,35,0,35
2023-05-26T00:40:21,0,35,0,35
2023-05-26T00:51:59,0,35,0,35
2023-05-26T01:03:39,0,35,0,35
2023-05-26T01:15:18,0,35,0,35
2023-05-26T01:26:56,0,35,0,35
2023-05-26T01:38:34,0,35,0,35
2023-05-26T01:50:22,0,35,0,35
2023-05-26T02:02:03,0,35,0,35
2023-05-26T02:13:42,0,35,0,35
2023-05-26T02:25:19,0,35,0,35
2023-05-26T02:36:58,0,35,0,35
2023-05-26T02:48:47,0,35,0,35
2023-05-26T03:00:26,0,35,0,35
2023-05-26T03:12:06,0,35,0,35
2023-05-26T03:23:48,0,35,0,35
2023-05-26T03:35:26,0,35,0,35
2023-05-26T03:47:05,0,35,0,35
2023-05-26T03:58:43,0,35,0,35
2023-05-26T04:10:31,0,35,0,35
2023-05-26T04:32:31,0,35,0,35
2023-05-26T04:44:35,0,35,0,35
2023-05-26T04:56:16,0,35,0,35
2023-05-26T05:07:57,0,35,0,35
2023-05-26T05:19:37,0,35,0,35
2023-05-26T05:31:16,0,35,0,35
2023-05-26T05:42:55,0,35,0,35
2023-05-26T05:54:34,0,35,0,35
2023-05-26T06:06:12,0,35,0,35
2023-05-26T06:17:51,0,35,0,35
2023-05-26T06:29:30,0,35,0,35
2023-05-26T06:41:09,0,35,0,35
2023-05-26T06:52:47,0,35,0,35
2023-05-26T07:04:25,0,35,0,35
2023-05-26T07:16:04,0,35,0,35
2023-05-26T07:27:42,0,35,0,35
2023-05-26T07:39:28,0,35,0,35
2023-05-26T07:51:05,0,35,0,35
2023-05-26T08:02:42,0,35,0,35
2023-05-26T08:14:18,0,35,0,35
2023-05-26T08:25:54,0,35,0,35
2023-05-26T08:37:30,0,35,0,35
2023-05-26T08:49:06,0,35,0,35
2023-05-26T09:00:42,0,35,0,35
2023-05-26T09:12:18,0,35,0,35
2023-05-26T09:23:55,0,35,0,35
2023-05-26T09:35:42,0,35,0,35
2023-05-26T09:47:18,0,35,0,35
2023-05-26T09:58:54,0,35,0,35
2023-05-26T10:10:31,0,35,0,35
2023-05-26T10:22:07,0,35,0,35
2023-05-26T10:33:43,0,35,0,35
2023-05-26T10:45:31,0,35,0,35
2023-05-26T10:57:07,0,35,0,35
2023-05-26T11:08:44,0,35,0,35
2023-05-26T11:20:21,0,35,0,35
2023-05-26T11:31:57,0,35,0,35
2023-05-26T11:43:43,0,35,0,35
2023-05-26T11:55:19,0,35,0,35
2023-05-26T12:06:55,0,35,0,35
2023-05-26T12:18:32,0,35,0,35
2023-05-26T12:30:08,0,35,0,35
2023-05-26T12:41:55,0,35,0,35
2023-05-26T12:53:31,0,35,0,35
2023-05-26T13:05:07,0,35,0,35
2023-05-26T13:16:42,0,35,0,35
2023-05-26T13:28:29,0,35,0,35
2023-05-26T13:40:05,0,35,0,35
2023-05-26T13:51:41,0,35,0,35
2023-05-26T14:03:17,0,35,0,35
2023-05-26T14:14:52,0,35,0,35
2023-05-26T14:26:39,0,35,0,35
2023-05-26T14:38:15,0,35,0,35
2023-05-26T14:49:52,1,34,0,35
2023-05-26T15:01:28,1,34,0,35
2023-05-26T15:13:06,1,34,0,35
2023-05-26T15:24:53,1,34,0,35
2023-05-26T15:36:28,1,34,0,35
2023-05-26T15:48:03,1,34,0,35
2023-05-26T15:59:40,1,34,0,35
2023-05-26T16:11:16,1,34,0,35
2023-05-26T16:22:51,1,34,0,35
2023-05-26T16:34:37,1,34,0,35
2023-05-26T16:46:13,1,34,0,35
2023-05-26T16:57:48,1,34,0,35
2023-05-26T17:09:25,1,34,0,35
2023-05-26T17:21:01,1,34,0,35
2023-05-26T17:32:37,1,34,0,35
2023-05-26T17:44:22,1,34,0,35
2023-05-26T17:55:58,1,34,0,35
2023-05-26T18:07:34,1,34,0,35
2023-05-26T18:19:10,1,34,0,35
2023-05-26T18:30:45,1,34,0,35
2023-05-26T18:42:21,1,34,0,35
2023-05-26T18:54:07,1,34,0,35
2023-05-26T19:05:43,1,34,0,35
2023-05-26T19:17:20,1,34,0,35
2023-05-26T19:28:56,1,34,0,35
2023-05-26T19:40:31,1,34,0,35
2023-05-26T19:52:06,1,34,0,35
2023-05-26T20:03:42,1,34,0,35
2023-05-26T20:15:28,1,34,0,35
2023-05-26T20:27:04,1,34,0,35
2023-05-26T20:38:39,1,34,0,35
2023-05-26T20:50:14,1,34,0,35
2023-05-26T21:01:50,1,34,0,35
2023-05-26T21:13:27,1,34,0,35
2023-05-26T21:25:03,1,34,0,35
2023-05-26T21:36:39,1,34,0,35
2023-05-26T21:48:25,1,34,0,35
2023-05-26T22:00:01,1,34,0,35
2023-05-26T22:11:37,1,34,0,35
2023-05-26T22:23:13,1,34,0,35
2023-05-26T22:34:49,1,34,0,35
2023-05-26T22:46:25,1,34,0,35
2023-05-26T22:58:01,1,34,0,35
2023-05-26T23:09:50,1,34,0,35
2023-05-26T23:21:26,1,34,0,35
2023-05-26T23:33:03,1,34,0,35
2023-05-26T23:44:39,1,34,0,35
2023-05-26T23:56:15,1,34,0,35
2023-05-27T00:07:52,1,34,0,35
2023-05-27T00:19:33,1,34,0,35
2023-05-27T00:31:11,1,34,0,35
2023-05-27T00:42:50,1,34,0,35
2023-05-27T00:54:30,1,34,0,35
2023-05-27T01:06:09,1,34,0,35
2023-05-27T01:17:58,1,34,0,35
2023-05-27T01:29:36,1,34,0,35
2023-05-27T01:41:15,1,34,0,35
2023-05-27T01:52:55,1,34,0,35
2023-05-27T02:04:32,1,34,0,35
2023-05-27T02:16:11,1,34,0,35
2023-05-27T02:27:48,1,34,0,35
2023-05-27T02:39:25,1,34,0,35
2023-05-27T02:51:01,1,34,0,35
2023-05-27T03:02:37,1,34,0,35
2023-05-27T03:14:15,1,34,0,35
2023-05-27T03:25:53,1,34,0,35
2023-05-27T03:37:30,1,34,0,35
2023-05-27T03:49:07,1,34,0,35
2023-05-27T04:00:46,1,34,0,35
2023-05-27T04:12:39,1,34,0,35
