time,enrolled,available,waitlisted,total
2023-05-25T01:23:08,0,10,0,10
2023-05-25T01:34:44,0,10,0,10
2023-05-25T01:46:29,0,10,0,10
2023-05-25T01:58:04,0,10,0,10
2023-05-25T02:09:40,0,10,0,10
2023-05-25T02:21:16,0,10,0,10
2023-05-25T02:32:51,0,10,0,10
2023-05-25T02:44:24,0,10,0,10
2023-05-25T02:55:57,0,10,0,10
2023-05-25T03:07:31,0,10,0,10
2023-05-25T03:19:10,0,10,0,10
2023-05-25T03:31:08,0,10,0,10
2023-05-25T03:42:45,0,10,0,10
2023-05-25T03:54:21,0,10,0,10
2023-05-25T04:05:56,0,10,0,10
2023-05-25T04:25:44,0,10,0,10
2023-05-25T04:37:20,0,10,0,10
2023-05-25T04:48:56,0,10,0,10
2023-05-25T05:00:32,0,10,0,10
2023-05-25T05:12:09,0,10,0,10
2023-05-25T05:23:45,0,10,0,10
2023-05-25T05:35:22,0,10,0,10
2023-05-25T05:46:58,0,10,0,10
2023-05-25T05:58:35,0,10,0,10
2023-05-25T06:10:10,0,10,0,10
2023-05-25T06:21:46,0,10,0,10
2023-05-25T06:33:20,0,10,0,10
2023-05-25T06:44:55,0,10,0,10
2023-05-25T06:56:31,0,10,0,10
2023-05-25T07:08:06,0,10,0,10
2023-05-25T07:19:41,0,10,0,10
2023-05-25T07:31:15,0,10,0,10
2023-05-25T07:42:51,0,10,0,10
2023-05-25T07:54:27,0,10,0,10
2023-05-25T08:06:02,0,10,0,10
2023-05-25T08:17:37,0,10,0,10
2023-05-25T08:29:21,0,10,0,10
2023-05-25T08:40:54,0,10,0,10
2023-05-25T08:52:26,0,10,0,10
2023-05-25T09:04:00,0,10,0,10
2023-05-25T09:15:32,0,10,0,10
2023-05-25T09:27:05,0,10,0,10
2023-05-25T09:38:38,0,10,0,10
2023-05-25T09:50:10,0,10,0,10
2023-05-25T10:01:44,0,10,0,10
2023-05-25T10:13:28,0,10,0,10
2023-05-25T10:25:01,0,10,0,10
2023-05-25T10:36:34,0,10,0,10
2023-05-25T10:48:07,0,10,0,10
2023-05-25T10:59:49,0,10,0,10
2023-05-25T11:11:22,0,10,0,10
2023-05-25T11:22:55,0,10,0,10
2023-05-25T11:34:27,0,10,0,10
2023-05-25T11:46:00,0,10,0,10
2023-05-25T11:57:44,0,10,0,10
2023-05-25T12:09:17,0,10,0,10
2023-05-25T12:20:50,0,10,0,10
2023-05-25T12:32:23,0,10,0,10
2023-05-25T12:43:56,0,10,0,10
2023-05-25T12:55:29,0,10,0,10
2023-05-25T13:07:12,0,10,0,10
2023-05-25T13:18:44,0,10,0,10
2023-05-25T13:30:18,0,10,0,10
2023-05-25T13:41:51,0,10,0,10
2023-05-25T13:53:24,0,10,0,10
2023-05-25T14:05:08,0,10,0,10
2023-05-25T14:16:42,0,10,0,10
