time,enrolled,available,waitlisted,total
2023-05-25T01:24:10,0,100,0,100
2023-05-25T01:35:46,0,100,0,100
2023-05-25T01:47:30,0,100,0,100
2023-05-25T01:59:05,0,100,0,100
2023-05-25T02:10:41,0,100,0,100
2023-05-25T02:22:18,0,100,0,100
2023-05-25T02:33:52,0,100,0,100
2023-05-25T02:45:25,0,100,0,100
2023-05-25T02:56:58,0,100,0,100
2023-05-25T03:08:33,0,100,0,100
2023-05-25T03:20:12,0,100,0,100
2023-05-25T03:32:10,0,100,0,100
2023-05-25T03:43:46,0,100,0,100
2023-05-25T03:55:22,0,100,0,100
2023-05-25T04:06:57,0,100,0,100
2023-05-25T04:26:45,0,100,0,100
2023-05-25T04:38:22,0,100,0,100
2023-05-25T04:49:58,0,100,0,100
2023-05-25T05:01:34,0,100,0,100
2023-05-25T05:13:11,0,100,0,100
2023-05-25T05:24:47,0,100,0,100
2023-05-25T05:36:24,0,100,0,100
2023-05-25T05:48:00,0,100,0,100
2023-05-25T05:59:36,0,100,0,100
2023-05-25T06:11:12,0,100,0,100
2023-05-25T06:22:47,0,100,0,100
2023-05-25T06:34:22,0,100,0,100
2023-05-25T06:45:57,0,100,0,100
2023-05-25T06:57:32,0,100,0,100
2023-05-25T07:09:08,0,100,0,100
2023-05-25T07:20:43,0,100,0,100
2023-05-25T07:32:16,0,100,0,100
2023-05-25T07:43:53,0,100,0,100
2023-05-25T07:55:29,0,100,0,100
2023-05-25T08:07:03,0,100,0,100
2023-05-25T08:18:38,0,100,0,100
2023-05-25T08:30:22,0,100,0,100
2023-05-25T08:41:55,0,100,0,100
2023-05-25T08:53:27,0,100,0,100
2023-05-25T09:05:01,0,100,0,100
2023-05-25T09:16:34,0,100,0,100
2023-05-25T09:28:06,0,100,0,100
2023-05-25T09:39:39,0,100,0,100
2023-05-25T09:51:11,0,100,0,100
2023-05-25T10:02:45,0,100,0,100
2023-05-25T10:14:29,0,100,0,100
2023-05-25T10:26:02,0,100,0,100
2023-05-25T10:37:35,0,100,0,100
2023-05-25T10:49:08,0,100,0,100
2023-05-25T11:00:50,0,100,0,100
2023-05-25T11:12:23,0,100,0,100
2023-05-25T11:23:56,0,100,0,100
2023-05-25T11:35:28,0,100,0,100
2023-05-25T11:47:02,0,100,0,100
2023-05-25T11:58:46,0,100,0,100
2023-05-25T12:10:18,0,100,0,100
2023-05-25T12:21:51,0,100,0,100
2023-05-25T12:33:24,0,100,0,100
2023-05-25T12:44:57,0,100,0,100
2023-05-25T12:56:30,0,100,0,100
2023-05-25T13:08:13,0,100,0,100
2023-05-25T13:19:46,0,100,0,100
2023-05-25T13:31:19,0,100,0,100
2023-05-25T13:42:52,0,100,0,100
2023-05-25T13:54:25,0,100,0,100
2023-05-25T14:06:10,0,100,0,100
2023-05-25T14:17:43,0,100,0,100
2023-05-25T14:29:16,0,100,0,100
2023-05-25T14:40:49,0,100,0,100
2023-05-25T14:52:23,0,100,0,100
2023-05-25T15:04:07,0,100,0,100
2023-05-25T15:15:41,0,100,0,100
2023-05-25T15:27:15,0,100,0,100
2023-05-25T15:38:50,0,100,0,100
2023-05-25T15:50:24,0,100,0,100
2023-05-25T16:01:59,0,100,0,100
2023-05-25T16:13:45,0,100,0,100
2023-05-25T16:25:20,0,100,0,100
2023-05-25T16:36:55,0,100,0,100
2023-05-25T16:48:30,0,100,0,100
2023-05-25T17:00:06,0,100,0,100
2023-05-25T17:11:43,0,100,0,100
2023-05-25T17:23:30,0,100,0,100
2023-05-25T17:35:05,0,100,0,100
2023-05-25T17:46:41,0,100,0,100
2023-05-25T17:58:17,0,100,0,100
2023-05-25T18:09:53,0,100,0,100
2023-05-25T18:21:29,0,100,0,100
2023-05-25T18:33:04,0,100,0,100
2023-05-25T18:44:50,0,100,0,100
2023-05-25T18:56:26,0,100,0,100
2023-05-25T19:08:02,0,100,0,100
2023-05-25T19:19:38,0,100,0,100
2023-05-25T19:31:13,0,100,0,100
2023-05-25T19:42:49,0,100,0,100
2023-05-25T19:54:35,0,100,0,100
2023-05-25T20:06:11,0,100,0,100
2023-05-25T20:17:47,0,100,0,100
2023-05-25T20:29:23,0,100,0,100
2023-05-25T20:40:58,0,100,0,100
2023-05-25T20:52:34,0,100,0,100
2023-05-25T21:04:09,0,100,0,100
2023-05-25T21:15:46,0,100,0,100
2023-05-25T21:27:32,0,100,0,100
2023-05-25T21:39:08,0,100,0,100
2023-05-25T21:50:44,0,100,0,100
2023-05-25T22:02:19,0,100,0,100
2023-05-25T22:13:55,0,100,0,100
2023-05-25T22:25:30,0,100,0,100
2023-05-25T22:37:06,0,100,0,100
2023-05-25T22:48:52,0,100,0,100
2023-05-25T23:00:27,0,100,0,100
2023-05-25T23:12:06,0,100,0,100
2023-05-25T23:23:41,0,100,0,100
2023-05-25T23:35:17,0,100,0,100
2023-05-25T23:46:53,0,100,0,100
2023-05-25T23:58:30,0,100,0,100
2023-05-26T00:10:26,0,100,0,100
2023-05-26T00:22:07,0,100,0,100
2023-05-26T00:33:46,0,100,0,100
2023-05-26T00:45:24,0,100,0,100
2023-05-26T00:57:03,0,100,0,100
2023-05-26T01:08:42,0,100,0,100
2023-05-26T01:20:21,0,100,0,100
2023-05-26T01:31:59,0,100,0,100
2023-05-26T01:43:47,0,100,0,100
2023-05-26T01:55:25,0,100,0,100
2023-05-26T02:07:07,0,100,0,100
2023-05-26T02:18:45,0,100,0,100
2023-05-26T02:30:22,0,100,0,100
2023-05-26T02:42:01,0,100,0,100
2023-05-26T02:53:51,0,100,0,100
2023-05-26T03:05:31,0,100,0,100
2023-05-26T03:17:12,0,100,0,100
2023-05-26T03:28:51,0,100,0,100
2023-05-26T03:40:29,0,100,0,100
2023-05-26T03:52:08,0,100,0,100
2023-05-26T04:03:46,0,100,0,100
2023-05-26T04:15:34,0,100,0,100
2023-05-26T04:37:58,0,100,0,100
2023-05-26T04:49:40,0,100,0,100
2023-05-26T05:01:19,0,100,0,100
2023-05-26T05:13:01,0,100,0,100
2023-05-26T05:24:40,0,100,0,100
2023-05-26T05:36:18,0,100,0,100
2023-05-26T05:47:58,0,100,0,100
2023-05-26T05:59:37,0,100,0,100
2023-05-26T06:11:16,0,100,0,100
2023-05-26T06:22:55,0,100,0,100
2023-05-26T06:34:33,0,100,0,100
2023-05-26T06:46:12,0,100,0,100
2023-05-26T06:57:50,0,100,0,100
2023-05-26T07:09:29,0,100,0,100
2023-05-26T07:21:08,0,100,0,100
2023-05-26T07:32:53,0,100,0,100
2023-05-26T07:44:30,0,100,0,100
2023-05-26T07:56:08,0,100,0,100
2023-05-26T08:07:44,0,100,0,100
2023-05-26T08:19:20,0,100,0,100
2023-05-26T08:30:56,0,100,0,100
2023-05-26T08:42:32,0,100,0,100
2023-05-26T08:54:08,0,100,0,100
2023-05-26T09:05:44,0,100,0,100
2023-05-26T09:17:21,0,100,0,100
2023-05-26T09:28:57,0,100,0,100
2023-05-26T09:40:44,0,100,0,100
2023-05-26T09:52:20,0,100,0,100
2023-05-26T10:03:56,0,100,0,100
2023-05-26T10:15:33,0,100,0,100
2023-05-26T10:27:09,0,100,0,100
2023-05-26T10:38:57,0,100,0,100
2023-05-26T10:50:34,0,100,0,100
2023-05-26T11:02:10,0,100,0,100
2023-05-26T11:13:47,0,100,0,100
2023-05-26T11:25:23,0,100,0,100
2023-05-26T11:36:59,0,100,0,100
2023-05-26T11:48:45,0,100,0,100
2023-05-26T12:00:21,0,100,0,100
2023-05-26T12:11:58,0,100,0,100
2023-05-26T12:23:34,0,100,0,100
